#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
972,24,Универзитет у Београду,Рударско-геолошки факултет,Државни факултет,1216,Геотехника,Дипломирани инжењер геологије,Техничко-технолошке науке,Основне академске,57000,1150,240,612-00-00661/2013-04,07/06/2013,25,14,11,4,15,5,0,5,6,12,6,3,24,0,0,0,0,0,0,20,18,0,49,56,0,105,8,4,18,19,17,16,21,8,24,TT,Државни факултет,21
973,24,Универзитет у Београду,Рударско-геолошки факултет,Државни факултет,1217,Геофизика,Дипломирани инжењер геологије,Техничко-технолошке науке,Основне академске,57000,1150,240,612-00-00661/2013-04,07/06/2013,15,4,2,7,4,0,0,0,3,2,6,3,8,0,0,1,0,0,0,6,4,0,17,22,1,40,8,4,4,4,5,10,10,3,8,TT,Државни факултет,10
1071,185,Универзитет Мегатренд,"Факултет за право, јавну управу и безбедност- Београд",Државни факултет,2196,Јавна управа,Дипломирани правник унутрашњих послова,Друштвено-хуманистичке науке,Основне академске,184500,3000,240,612-00-02669/2013-04,09/05/2014,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,8,4,,,,,,,,DH,Приватни факултет,
1082,55,Универзитет у Нишу,Правни факултет,Државни факултет,1236,Основне академске студије права,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,83000,1000,240,612-00-00683/2013-04,29/11/2013,600,281,264,157,222,,,84,101,347,934,,,1,0,0,0,,,148,315,10,924,1466,1,2391,8,4,325,366,365,504,1156,,,DH,Државни факултет,1156
1084,35,Универзитет у Крагујевцу,Факултет медицинских наука,Државни факултет,1238,Интегрисане академске студије медицине,Доктор медицине,Медицинске науке,Интегр. академске,90000,1800,360,612-00-02639/2017-06,09/02/2018,88,87,85,84,90,77,168,4,3,10,23,16,137,0,0,0,2,3,0,126,536,0,591,193,5,789,12,6,536,91,88,94,115,96,305,MD,Државни факултет,305
1088,35,Универзитет у Крагујевцу,Факултет медицинских наука,Државни факултет,1242,Интегрисане академске студије фармације,Магистар фармације,Медицинске науке,Интегр. академске,130000,1800,300,612-00-02639/2017-06,09/02/2018,84,85,78,81,79,87,,0,4,3,2,4,,,,,,,,87,158,0,410,13,0,423,10,5,158,,,,,,,MD,Државни факултет,
1090,24,Универзитет у Београду,Рударско-геолошки факултет,Државни факултет,1244,Рударско инжењерство,Дипломирани инжењер рударства,Техничко-технолошке науке,Основне академске,57000,1150,240,612-00-00661/2013-04,07/06/2013,80,51,34,28,33,26,0,12,34,41,38,37,51,0,0,0,0,0,0,34,69,0,172,213,0,385,8,4,69,63,68,69,71,63,51,TT,Државни факултет,71
1092,24,Универзитет у Београду,Рударско-геолошки факултет,Државни факултет,1246,Инжењерство нафте и гаса,Дипломирани инжењер рударства,Техничко-технолошке науке,Основне академске,57000,1150,240,612-00-00661/2013-04,14/06/2013,30,25,25,23,22,9,0,5,6,9,9,5,20,1,1,1,2,1,1,38,42,1,104,54,7,165,8,4,43,31,32,33,33,15,21,TT,Државни факултет,33
1093,35,Универзитет у Крагујевцу,Факултет медицинских наука,Државни факултет,1247,Интегрисане академске студије стоматологије,Доктор стоматологије,Медицинске науке,Интегр. академске,150000,0,300,612-00-00032/3/2018-03,15/10/2018,24,25,25,25,24,25,,0,1,1,0,1,,,,,,,,24,84,0,124,3,0,127,10,5,84,,,,,,,MD,Државни факултет,
1095,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,1249,Квантитативна економија (240 ЕСПБ),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,-,01/01/2005,0,0,0,0,0,,,0,0,0,1,,,0,0,0,0,,,0,0,0,0,1,0,1,8,4,0,0,0,0,1,,,DH,Државни факултет,1
1096,24,Универзитет у Београду,Рударско-геолошки факултет,Државни факултет,1250,Инжењерство заштите животне средине,Дипломирани инжењер заштите животне средине,Техничко-технолошке науке,Основне академске,57000,1150,240,612-00-00661/2013-04,14/06/2013,40,25,15,14,12,12,0,5,13,18,19,6,13,0,0,0,0,0,0,26,67,6,78,74,0,152,8,4,73,30,28,32,31,18,13,TT,Државни факултет,31
1103,32,Универзитет у Београду,Православни богословски факултет,Државни факултет,1259,Практична теологија,Теолог,Друштвено-хуманистичке науке,Основне академске,105000,1,180,612-00-03212/2016-06,21/07/2017,0,,,,,,,,,56,,,,,,,,,,229,0,0,0,56,0,56,6,3,0,,,,,,,DH,Државни факултет,
1105,3,Универзитет у Београду,Факултет за специјалну едукацију и рехабилитацију,Државни факултет,1265,Специјална едукација и рехабилитација особа са тешкоћама у менталном развоју,Дипломирани дефектолог,Друштвено-хуманистичке науке,Основне академске,84000,1680,240,612-00-00377/2014-04,28.11.2014.,60,40,43,40,41,,,20,17,29,37,,,0,0,0,0,,,38,69,0,164,103,0,267,8,4,69,60,60,69,78,,,DH,Државни факултет,78
1107,3,Универзитет у Београду,Факултет за специјалну едукацију и рехабилитацију,Државни факултет,1768,Дефектологија,Дипломирани дефектолог,Друштвено-хуманистичке науке,Основне академске,84000,1680,240,612-00-00377/2014-04,20.03.2015.,160,103,141,119,107,,,66,42,39,59,,,0,0,0,0,,,129,143,32,470,206,0,676,8,4,175,169,183,158,166,,,DH,Државни факултет,166
1113,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1290,индустријско инжењерство у експлоатацији нафте и гаса,Дипломирани инжењер индустријског инжењерства у експлоатацији нафте и гаса,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2014,50,21,25,24,29,,,14,5,19,12,,,0,0,0,0,,,14,32,8,99,50,0,149,8,4,40,35,30,43,41,,,IMT,Државни факултет,41
1115,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1292,менаџмент информационих технологија,Дипломирани инжењер менаџмента информационих технологија,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2016,60,10,10,10,,,,6,0,1,,,,0,0,0,,,,3,8,5,30,7,0,37,8,4,13,16,10,11,,,,IMT,Државни факултет,
1116,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1293,информатика и техника у образовању,Дипломирани професор информатике и технике,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2014,20,3,8,10,10,,,0,2,2,0,,,0,0,0,0,,,4,3,0,31,4,0,35,8,4,3,3,10,12,10,,,IMT,Државни факултет,10
1118,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1295,Композиција,Дипломирани композитор,Уметност,Основне академске,125000,1500,240,612-00-01771/2015-06,08/07/2016,4,2,2,2,2,,,0,0,0,0,,,0,0,0,0,,,3,3,0,8,0,0,8,8,4,3,2,2,2,2,,,UM,Државни факултет,2
1119,8,Универзитет у Београду,Филолошки факултет,Државни факултет,1297,Српски језик и књижевност,Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,119000,2.5,240,612-00-00603/2014-04,06.02.2015.,120,59,48,44,94,0,0,30,36,49,387,0,0,0,0,0,0,0,0,58,59,29,245,502,0,747,8,4,88,89,84,93,481,0,0,DH,Државни факултет,481
1120,8,Универзитет у Београду,Филолошки факултет,Државни факултет,1298,Српска књижевност и језик,Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,119000,2500,240,612-00-00604/2014-04,06.02.2015.,120,45,18,39,59,0,0,25,33,24,302,0,0,0,0,0,0,0,0,41,50,25,161,384,0,545,8,4,75,70,51,63,361,0,0,DH,Државни факултет,361
1121,8,Универзитет у Београду,Филолошки факултет,Државни факултет,1299,Српска књижевност и језик са компаратистиком,Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,119000,2500,240,612-00-00602/2014-04,06.02.2015.,65,32,25,26,36,0,0,8,10,11,192,0,0,0,0,0,0,0,0,24,29,11,119,221,0,340,8,4,40,40,35,37,228,0,0,DH,Државни факултет,228
1122,8,Универзитет у Београду,Филолошки факултет,Државни факултет,1301,"Језик, књижевност, култура",Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,119000,2500,240,612-00-00605/2014-04,17.04.2015.,1200,543,583,643,909,0,0,506,251,204,1277,0,0,3,2,1,0,0,0,548,1180,45,2678,2238,6,4922,8,4,1225,1052,836,848,2186,0,0,DH,Државни факултет,2186
1131,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1314,Музичка педагогија,Дипломирани теоретичар уметности,Друштвено-хуманистичке науке,Основне академске,125000,1500,240,612-00-260/2009-04,09/12/2011,20,18,13,17,16,,,2,0,1,3,,,0,0,0,0,,,18,10,0,64,6,0,70,8,4,10,20,13,18,19,,,DH,Државни факултет,19
1132,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1315,Музикологија,Дипломирани теоретичар уметности,Друштвено-хуманистичке науке,Основне академске,125000,1500,240,612-00-260/2009-04,09/12/2011,4,1,3,2,4,,,0,0,0,0,,,0,0,0,0,,,2,2,0,10,0,0,10,8,4,2,1,3,2,4,,,DH,Државни факултет,4
1133,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1316,Етномузикологија,Дипломирани теоретичар уметности,Друштвено-хуманистичке науке,Основне академске,125000,1500,240,612-00-260/2009-04,09/12/2011,8,4,3,4,3,,,0,0,0,0,,,0,0,0,0,,,4,4,0,14,0,0,14,8,4,4,4,3,4,3,,,DH,Државни факултет,3
1142,39,Универзитет у Крагујевцу,Правни факултет,Државни факултет,1342,Право,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,75000,1250,240,612-00-01468/2009-04,10/12/2009,440,237,87,100,100,,,64,211,183,61,,,,,,,,,68,255,10,524,519,0,1043,8,4,265,,,,,,,DH,Државни факултет,
1144,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1347,Глума на српском језику,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,125000,1500,240,612-00-01098 /2014-04,19/06/2015,10,10,9,9,10,,,0,0,0,0,,,0,0,0,0,,,10,143,0,38,0,0,38,8,4,143,10,9,9,10,,,UM,Државни факултет,10
1145,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1348,Глума на мађарском језику,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,125000,1500,240,612-00-01098&2014-04,19/06/2015,10,6,0,8,0,,,0,0,0,0,,,0,0,0,0,,,0,6,0,14,0,0,14,8,4,6,6,0,8,0,,,UM,Државни факултет,0
1147,11,Универзитет у Београду,Факултет политичких наука,Државни факултет,1350,ОАС политикологије,Дипломирани политиколог,Друштвено-хуманистичке науке,Основне академске,100000,1500,240,612-00-00086/2014-04,03/04/2015,100,35,35,43,42,19,,65,58,38,43,34,,0,0,0,0,0,,77,185,8,174,238,0,412,8,4,193,100,93,81,85,53,,DH,Државни факултет,85
1148,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1351,Мултимедијална режија,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,125000,1500,240,612-00-260/2009-04,04/06/2010,6,0,3,0,4,,,0,0,0,0,,,0,1,0,0,,,3,0,0,7,0,1,8,8,4,0,0,4,0,4,,,UM,Државни факултет,4
1149,11,Универзитет у Београду,Факултет политичких наука,Државни факултет,1352,ОА међународне студије,Дипломирани политиколог за међународне послове,Друштвено-хуманистичке науке,Основне академске,110000,1500,240,612-00-00086/2014-04,03/04/2015,140,39,43,51,63,11,,105,97,83,65,60,,0,0,0,1,9,,116,237,6,207,410,10,627,8,4,243,144,140,134,129,80,,DH,Државни факултет,129
1150,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1353,Драматургија,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,125000,1500,240,612-00-01098&2014-04,29/01/2016,5,5,0,4,0,,,0,0,0,0,,,0,0,0,0,,,4,6,0,9,0,0,9,8,4,6,5,0,4,0,,,UM,Државни факултет,0
1151,11,Универзитет у Београду,Факултет политичких наука,Државни факултет,1355,ОАС новинарства,Дипломирани новинар/журналиста,Друштвено-хуманистичке науке,Основне академске,110000,1500,240,612-00-00086/2014-04,06/03/2015,160,52,61,73,72,31,,109,91,70,67,78,,0,0,0,0,1,,106,188,0,289,415,1,705,8,4,188,161,152,143,139,110,,DH,Државни факултет,139
1152,11,Универзитет у Београду,Факултет политичких наука,Државни факултет,1356,ОАС социјалне политике и социјалног рада,Дипломирани социјални радник,Друштвено-хуманистичке науке,Основне академске,105000,1500,240,612-00-00086/2014-04,20/02/2015,100,30,36,44,52,20,,70,62,47,43,49,,0,0,0,0,1,,103,111,0,182,271,1,454,8,4,111,100,98,91,95,70,,DH,Државни факултет,95
1153,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1362,Музичка продукција,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,125000,1500,240,612-00-01250/2012-04,08/11/2013,20,0,0,0,0,,,0,16,0,0,,,0,2,0,0,,,0,0,0,0,16,2,18,8,4,0,0,18,0,0,,,UM,Државни факултет,0
1159,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,2214,Аудиовизуелни медији,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,125000,1500,240,612-00-01771/2015-06,10/06/2016,30,,,,,,,,,,,,,,,,,,,20,48,0,0,0,0,0,8,4,48,,,,,,,UM,Државни факултет,
1160,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,2213,Извођачке уметности,Дипломирани музички уметник,Уметност,Основне академске,125000,1500,241,612-00-01771/2015-06,08/07/2016,47,,,,,,,,,,,,,,,,,,,28,75,0,0,0,0,0,8,4,75,,,,,,,UM,Државни факултет,
1161,69,Универзитет у Новом Саду,Правни факултет,Државни факултет,1377,ПРАВА - ОПШТИ СМЕР,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,86000,1200,240,612-00-00089/2014-04,26/09/2014,660,137,132,93,149,,,314,173,327,1093,,,2,0,0,1,,,203,289,0,511,1907,3,2421,8,4,289,453,305,420,1243,,,DH,Државни факултет,1243
1162,69,Универзитет у Новом Саду,Правни факултет,Државни факултет,1381,ПРАВА - СМЕР УНУТРАШЊИХ ПОСЛОВА,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,86000,1200,240,612-00-00089/2014-04,26/09/2014,220,44,42,35,49,,,149,84,130,392,,,0,0,0,0,,,53,126,0,170,755,0,925,8,4,126,193,126,165,441,,,DH,Државни факултет,441
1171,65,Универзитет у Новом Саду,Медицински факултет,Државни факултет,2384,Интегрисане академске студије медицине,Доктор медицине,Медицинске науке,Интегр. академске,110000,3600,360,612-00-00020/2014-04,04/07/2014,282,183,133,163,161,194,328,146,102,117,135,29,250,0,0,1,2,1,11,192,501,0,1162,779,15,1956,12,6,501,329,235,281,298,224,589,MD,Државни факултет,589
1174,13,Универзитет у Београду,Грађевински факултет,Државни факултет,1422,Грађевинарство,Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,100000,1800,240,612-00-02732/2013-04,28/03/2014,340,209,134,114,120,,,148,232,248,674,,,0,0,0,0,,,191,320,22,577,1302,0,1879,8,4,342,357,366,362,794,,,TT,Државни факултет,794
1176,13,Универзитет у Београду,Грађевински факултет,Државни факултет,1425,Геодезија и геоинформатика,Инжењер геодезије,Техничко-технолошке науке,Основне академске,100000,1800,180,612-00-02732/2013-04,09/04/2014,60,39,22,33,,,,27,26,39,,,,0,0,0,,,,41,68,2,94,92,0,186,6,3,70,66,48,72,,,,TT,Државни факултет,72
